transaction_id,vendor,amount,category,date,payment_method,note
c1d5f17a-b5ad-4e62-9d39-9a18f73dd1d4,Ford Motor Company,28.88,CarPayment,2025-04-11,MasterCard,While machine heart not plan late.
762464ab-0264-46c1-a62f-ae4c35fc559c,Packaging Corporation of America,35.9,OfficeSupplies,2025-05-03,Visa,Identify language you every break various hour.
7be49372-15cd-4ec7-af88-cc1ccec1d346,"Nasdaq, Inc.",6.9,Investments,2025-01-29,MasterCard,Daughter accept director yard series.
c3d2286a-0217-4eb2-8422-3ad909d22398,Lockheed Martin,37.41,Defense,2025-05-09,MasterCard,Why perhaps or.
a4384698-a7f4-4f22-877d-4226dc94c7f9,International Paper,7.48,OfficeSupplies,2025-04-04,AmEx,Myself type size take.
dca6f926-eda9-4eed-8d61-bb766b2074c1,Western Digital,7.6899999999999995,Computer,2025-01-28,Apple Pay,Walk individual window meeting describe commercial civil.
0040f33b-bc7c-4a89-856d-f17ea339ea0b,Conagra Brands,118.95,Groceries,2025-01-16,AmEx,Stay identify it goal require upon.
a31d33a4-2527-4211-bcd1-6e17c8fcb33f,Thermo Fisher Scientific,134.83,MedicalSupplies,2025-06-26,MasterCard,Nation imagine try why whatever.
79e5876c-6989-41f7-a7c5-b7299bf8b3b4,"Tapestry, Inc.",66.09,Clothing,2025-07-02,AmEx,Team fund wife.
13d93785-8bcf-42cf-a540-66a8e58190ba,Global Payments,14.53,FinanceCharges,2025-05-03,Visa,Within college stock card very final.
129b02f1-efaf-4512-a29f-9f6039c96928,Cognizant Technology Solutions,9.11,Software,2025-02-15,AmEx,Summer control expert.
f26d222c-9f37-4b21-a210-d2553b6aca10,Cognizant Technology Solutions,46.11,Software,2025-01-24,PayPal,Star those everyone sign.
4a30bbfd-6560-4275-8dd3-3f93d4e1d1ff,Genuine Parts Company,23.2,CarMaintenance,2025-01-27,PayPal,Cover although different build already lead.
ef8c5157-f2fa-4584-842f-efc074e3007b,Caesars Entertainment,5.21,Casino,2025-05-04,MasterCard,Quickly democratic surface computer activity measure.
e4240cc9-eb10-41eb-b7aa-d27597ade052,D.R. Horton,27.34,Mortgage,2025-02-17,Apple Pay,Wonder factor without religious behind forward.
a8037fe6-3be6-467a-9162-503a24e8b066,DexCom,6.4,MedicalSupplies,2025-02-11,PayPal,Wish page science box free.
6c33517d-1fb2-4e05-9bff-fd9a306de4f2,ViacomCBS,96.02,Media,2025-02-11,PayPal,Truth public including front some indicate.
3b8b2bd2-0426-49cf-aa25-77aff29749dc,FirstEnergy,11.98,Electric,2025-05-15,MasterCard,Century him reason rather.
1bfacbc0-8ba0-432d-a245-7fde6764840c,Kraft Heinz,43.45,Groceries,2025-03-06,Visa,Best speak they.
a95ab36c-3762-4407-a540-e3cda5250ec5,Royal Caribbean Group,14.94,Travel,2025-06-28,Visa,Service act political small property.
ac5b247c-684a-48f0-aa59-e70ede02f3b8,CarMax,29.36,CarPayment,2025-01-31,MasterCard,Prepare recognize wait fight edge area.
f76d3a4c-350f-4fde-85f1-f004ebc4e513,Southern Company,31.65,Electric,2025-01-17,PayPal,Fill walk share girl.
2b7b8d17-5c82-41da-86e8-cbe77f1ec4c4,Monster Beverage,8.18,Drinks,2025-06-24,PayPal,Tonight performance goal.
73f507a1-b769-47e0-b8e9-960a26f66567,Garmin,139.71,Electronics,2025-02-08,PayPal,Fall respond land leader guy.
21f419dc-9b69-4c8f-8293-e4167cbbb130,Linde plc,59.69,Gas,2025-05-07,Apple Pay,Do left no adult.
cf871181-9b7f-4984-b7e1-ad121874cfdd,Tyler Technologies,112.2,Software,2025-07-08,Visa,Him traditional side seek natural go.
b80f854e-7e77-495a-b102-c3e326d47dbc,Pentair,90.09,HomeImprovement,2025-02-23,AmEx,Hot meeting lose.
edfc3943-9193-40a8-8bf2-bb284fa78598,Sealed Air,36.44,Supplies,2025-01-27,AmEx,Pass mean guess court.
75c00af4-b810-467d-beee-13385cbbfa5a,Bio-Rad Laboratories,101.98,Health,2025-04-26,PayPal,Mission wrong but article.
d33fe125-9e92-4c56-81f3-5c83982e9a1e,Carrier Global,8.71,Appliances,2025-03-16,Visa,Positive military indicate mention.
094e35d1-28f0-4191-b733-3cd77c8c10f7,Zoom Video Communications,8.73,Software,2025-05-04,Apple Pay,Political offer ever without board bar.
1c73d5ff-43ff-4848-8765-62b764b36cc6,SBA Communications,6.85,Phone,2025-05-26,Apple Pay,Standard million system same director hour.
6c0aec1f-d4ee-4e5a-907f-e182c279ca18,Walmart,15.74,Groceries,2025-06-13,AmEx,Painting wife nor.
edf5b7a0-744e-4a1a-a44b-056b745ac7b3,The Trade Desk,19.69,Advertising,2025-01-28,Apple Pay,Because second experience management easy professor.
ba3e0199-b7a7-467c-a614-5f5d88e8ed6e,"Nasdaq, Inc.",12.66,Investments,2025-05-21,MasterCard,Lead cup business cost.
11690edb-1242-4113-8cb9-7fff4c5f41ed,Fortive,70.58,Electronics,2025-05-30,Apple Pay,Truth drop music.
d3fec82c-466f-47a9-9923-b9d0ee4b3d9a,Zoom Video Communications,17.65,Software,2025-02-25,Visa,Pull across suddenly part attention remember.
48e5836f-5a29-4227-b98a-9c6d6a70933b,Moody's Corporation,13.19,FinanceCharges,2025-04-19,PayPal,Here agent will blood.
21c059d5-c2bd-4aa0-be6f-b15a07d3c630,Air Products & Chemicals,31.3,Supplies,2025-06-12,AmEx,Particularly nor travel head.
4ad7f8ac-6d4b-4d56-b4b9-86f37b244ddd,UnitedHealth Group,6.08,HealthInsurance,2025-04-23,MasterCard,Get air magazine.
ceaf3c0e-13a2-43df-8379-0c62b9717e16,Ametek,64.82,Electronics,2025-05-10,Apple Pay,Happy player possible common way fire.
954f08aa-85d0-43a5-b3bb-7f4a4e5b25d2,Yum! Brands,8.1,DiningOut,2025-06-20,Visa,Modern while week use democratic television.
7bc06428-4c87-4edc-a4e6-c22f5e968f1f,Raytheon Technologies,173.37,Defense,2025-03-08,Visa,Lot shake hospital if film entire.
710583b7-9fcf-443d-9aa7-37eff9c2b3ae,Salesforce,59.18,Software,2025-02-24,MasterCard,Organization past style under.
3bba1f6f-ba62-41c4-8c55-ba71077ed824,Boston Scientific,8.86,Health,2025-01-23,PayPal,Eye talk police debate few.
3ce60f1e-16dd-46ba-8838-3f25a7d84a70,Yum! Brands,5.22,DiningOut,2025-02-20,MasterCard,House late market process they high.
c0118671-0cfe-42df-bf2c-caeb2aff7e95,Diamondback Energy,67.6,Gas,2025-02-25,Apple Pay,Worry improve little consider improve represent.
0090bca8-3d57-40bd-ad4f-56b2d2970ae9,Hilton Worldwide,49.08,Hotel,2025-05-17,Apple Pay,Benefit imagine ball sort.
85ceaebc-0466-473e-a879-7642492becdd,Royal Caribbean Group,52.23,Travel,2025-01-15,MasterCard,Wrong born start away teach service.
e31f9ec2-532e-46fd-9c5e-08e8759d7551,Prologis,59.01,Rent,2025-04-22,PayPal,Yes adult past seven share create.
062c5db3-8f02-40e5-9377-a17bfed26bfa,Packaging Corporation of America,8.08,OfficeSupplies,2025-01-25,AmEx,According able physical.
31df03ef-9573-4e66-85c5-adea9bfd6474,Humana,17.76,HealthInsurance,2025-02-28,PayPal,Paper measure third wall even money.
56381793-d0e8-408f-b36d-08a20e0fcd61,Boeing,9.93,Travel,2025-05-08,MasterCard,Hot miss campaign.
6cb0f25f-bede-405b-af9d-414b7a2a3654,Analog Devices,79.54,Electronics,2025-04-15,Visa,Before computer Mr attack for.
c6298bde-0fc8-4339-9aa9-7303bddc039e,Mohawk Industries,39.05,HomeImprovement,2025-02-19,MasterCard,Here rest necessary.
f734d93a-db17-407d-a4d6-b5e0c7665dd9,Mohawk Industries,16.07,HomeImprovement,2025-05-15,Visa,Take produce those military two me.
581561b9-6d79-4481-b85f-6769d6913feb,Apple,7.63,Electronics,2025-01-30,Visa,Three feeling charge room.
e3532f84-dc39-41bc-853e-ac6facdc8f64,Copart,14.9,CarMaintenance,2025-06-23,Visa,Compare cost activity glass.
665dcad8-0d33-4983-a0fd-5a348ed425dd,Tyler Technologies,15.73,Software,2025-04-17,Visa,Whatever happy include.
b00d694f-1d15-4b24-8a27-76a41d628660,Laboratory Corporation of America,52.32,MedicalSupplies,2025-05-11,AmEx,Administration data somebody.
8e88f4d7-ac18-4ad8-8d43-ff7b9f2d28f5,Paccar,40.6,Transportation,2025-03-08,MasterCard,Suddenly situation officer yard part.
efb8eb91-c726-46de-8043-6823adeaf901,Lumen Technologies,87.29,Internet,2025-06-07,Apple Pay,Go development artist.
bcb82891-f073-4cda-ace1-5efbe3121f66,Mettler-Toledo,25.56,MedicalSupplies,2025-03-11,MasterCard,Low point skin more people.
e0a334d1-813a-4aeb-8d13-06c39321a071,SL Green Realty,5.09,Rent,2025-03-11,PayPal,Poor able letter us police single.
bdde45b2-fdf3-4add-ab92-a240aab3f6e2,Church & Dwight,49.97,Cleaning,2025-06-16,Visa,Year door stuff movement policy plan person.
e3d4afb6-f6b1-404c-a560-aa958a78f4f5,Oneok,57.22,Gas,2025-03-22,AmEx,By employee head from in partner.
80fa9b76-8af7-49fc-af57-1db0cae56b70,Hilton Worldwide,32.96,Hotel,2025-03-27,PayPal,Really prepare wind.
408d2fb6-15b0-45b9-96e4-50c6ddde4021,"UDR, Inc.",58.96,Rent,2025-06-27,Visa,Foreign vote week.
dc4326b0-5383-455b-95e2-89ff60cd2a33,Amphenol,27.23,Electronics,2025-03-29,AmEx,Difference agree lot off feel.
52f76b72-f0c9-409d-81bb-e72c91dac78e,State Street Corporation,29.59,Investments,2025-06-13,MasterCard,Matter with personal education house.
d968801e-231f-46a2-bc7c-8a12e73a4b94,Cigna,22.31,HealthInsurance,2025-05-23,Apple Pay,More single former.
5831b242-1e64-4a8c-983a-6eca99212139,Illinois Tool Works,6.03,Hardware,2025-06-05,PayPal,Or as miss rule check our.
22a51ff4-1fb6-478a-a86e-4931cba35c33,Charter Communications,9.57,Internet,2025-04-30,PayPal,Hotel and idea.
85d3c1c9-2a0a-40bd-8f84-11d6d4afe837,Danaher Corporation,6.28,Health,2025-06-21,PayPal,Example which ask product nor leave management.
95f826c8-3918-41ec-af08-1a4313b522e2,SVB Financial,40.47,BankFees,2025-02-20,Visa,Performance tax couple ten.
305ceda2-884c-44c3-8da1-4ea62f033ce9,American Tower,15.1,Utilities,2025-01-25,Apple Pay,Responsibility join add understand theory door.
16fc243b-d904-4df6-b8b3-7a22e80a8939,Textron,28.42,Aerospace,2025-07-07,Visa,Whether nearly miss region.
9d6da2d1-88cf-4b12-b984-14d5b9d9fe63,WestRock,95.25,OfficeSupplies,2025-05-11,MasterCard,Really can others.
bf81a16b-692e-4f8b-b022-9df55fad56de,Hartford Financial Services,11.47,Insurance,2025-03-08,PayPal,Free base box.
eb80e252-8123-4469-b4e6-8e53f1fc7b72,Colgate-Palmolive,21.13,PersonalCare,2025-03-30,Visa,Away commercial one.
a381e876-05da-4668-b209-33c636bfb01f,CBRE Group,56.35,Rent,2025-04-04,Visa,Hair spring art lawyer property lose.
87192b0b-30b2-4ad2-a44c-b9be6613fc8d,General Electric,10.39,Electronics,2025-05-04,PayPal,Beautiful piece realize born region class.
4c112e48-3bde-4ea1-862f-571e81c97be6,Duke Energy,8.2,Electric,2025-03-24,Apple Pay,Machine state last fly sure.
f70004c7-cb61-4877-9187-6a2ae8e32d49,Oracle Corporation,13.69,Software,2025-03-08,MasterCard,Artist hair view activity your.
239b55f2-c61c-4b59-a2e4-7d94ec0ee50a,Church & Dwight,7.03,Cleaning,2025-04-26,MasterCard,Point image defense think television say.
9fb33463-4de6-408b-9dd9-332ebaa929dc,Ametek,106.2,Electronics,2025-02-12,Apple Pay,Difficult view where.
bca4b12c-7f87-4901-ac65-d3bea653516d,Amphenol,66.04,Electronics,2025-04-21,Visa,Wide include share.
b706220c-edda-4d93-b798-ae02d65530e9,American Tower,40.14,Utilities,2025-02-11,PayPal,Investment fly such hospital base.
aff9e649-fb35-4d8d-9d20-af6a47298079,Kimco Realty,82.06,Rent,2025-02-25,MasterCard,Live under ball thing product I.
023dd0c9-39c5-4fbf-ac90-2dd41f3dad87,Ametek,65.12,Electronics,2025-03-02,Visa,Physical sit require.
653a604b-af4d-4d0d-9362-728523a320c4,Trane Technologies,8.26,HomeImprovement,2025-05-24,Visa,On drug section figure beat.
2c71ac05-bec3-4b2c-b664-d278dffe7401,Monolithic Power Systems,89.23,Electronics,2025-06-23,MasterCard,Imagine statement keep.
9bdc777c-0f0d-4678-b83a-53f57da40a34,Goldman Sachs,31.0,Investments,2025-06-10,Apple Pay,Statement approach away.
9860d15a-7b3e-4ff4-9a58-a80a8fb0359f,D.R. Horton,65.89,Mortgage,2025-02-12,Apple Pay,Board crime kitchen person laugh.
0bf65d6b-8e82-4ced-913b-e17f48e4ee4c,Ameren,90.57,Utilities,2025-02-02,Visa,Example factor dark fear method.
485cf0d6-e3cf-4429-b6fb-ba5ef1755f74,Hess Corporation,15.31,Gas,2025-01-23,Apple Pay,Model property worry mind majority.
7b31c7be-0b26-4565-8446-e5aec31b088e,McDonald's,9.66,DiningOut,2025-02-27,AmEx,Cell sister analysis.
9b8e18f8-f7e1-43c7-89fb-36ac95c0c236,Willis Towers Watson,10.35,Insurance,2025-05-05,MasterCard,Visit sense choice individual hundred.
04c906b4-10ac-4af9-a334-a6fdcd4e1da3,Paccar,22.28,Transportation,2025-04-21,MasterCard,Society country senior.
b694d709-4927-42b9-ae75-24539517dfc0,Diamondback Energy,68.15,Gas,2025-03-31,MasterCard,Yourself lot every drive write religious.
a0290d11-955e-4a9b-b8e1-a2a197598998,Packaging Corporation of America,78.85,OfficeSupplies,2025-01-26,AmEx,Else security morning student.
3dc76241-c7af-4e3b-82ff-fb07b1d41c6c,Intercontinental Exchange,5.28,Investments,2025-04-21,Visa,Example still a out if.
b3148926-1e7a-4b58-ae76-cdb969d9def6,Activision Blizzard,28.6,Games,2025-03-15,Apple Pay,Act official mean.
af68d3f2-598c-474e-8c0f-0ab49d145246,McCormick & Company,21.61,Groceries,2025-06-15,Visa,Billion leader full network past.
9cebb4c0-1755-4dcd-8b38-ad0eb8009911,Lowe's,10.05,HomeImprovement,2025-05-17,Apple Pay,Father site as bit almost.
ba2b0cab-d58c-4657-b1bc-ea713cc11533,Diamondback Energy,5.11,Gas,2025-06-07,AmEx,Build accept page there report.
d47ae398-8aa0-498b-8ac7-1315e6ee92ca,Unum Group,16.48,Insurance,2025-06-23,MasterCard,Determine avoid every north response its.
0fd3897d-fadc-47cb-a206-d618aaec81b6,Ford Motor Company,114.52,CarPayment,2025-04-29,MasterCard,Nothing short alone street.
639d7bdd-e6ba-4d3c-ab21-5bf7d0aeaf02,Humana,15.62,HealthInsurance,2025-02-21,AmEx,Eat issue could pretty statement.
2b3e92ce-24a4-4d56-9141-5b6400db84c6,NetApp,29.26,Software,2025-01-24,Apple Pay,Player rich civil remain per theory.
8397b46f-f2a6-4526-99f8-44d04ed483f5,Activision Blizzard,48.56,Games,2025-01-21,Apple Pay,Buy final successful blood factor.
220a3ed6-dded-47aa-8071-5e4f8080694b,Edison International,18.08,Electric,2025-01-22,Visa,Quickly region paper these.
97705eb9-080e-4f34-b9b4-9d81c6ae1f48,Xcel Energy,142.71,Electric,2025-06-06,AmEx,Point option religious picture goal.
11b9d524-898c-4182-865c-f88ec7e005bc,Biogen,131.28,Pharmacy,2025-06-13,Apple Pay,Travel wife prepare data second quite.
6bc0ae56-6515-4759-bd2c-95e12ff49655,Carnival Corporation,11.6,Vacation,2025-05-02,AmEx,Practice guy because.
19808c21-d8c1-40e8-addc-805ac91752dd,Motorola Solutions,27.51,Electronics,2025-05-18,AmEx,That teach him deal responsibility.
8d252b8a-32ab-4eff-bde2-d58c1048f4d4,Clorox,14.32,Cleaning,2025-01-16,AmEx,Cover pretty ready keep police.
2f779470-aa86-408d-9b8b-37d835b72a43,Kinder Morgan,13.41,Gas,2025-03-07,AmEx,Century bag turn bar.
cd3d5d90-d5af-4f0f-869c-4daad6618f83,W. R. Berkley,6.5,Insurance,2025-06-27,Visa,World movie rate.
a3d47d5e-4989-4bb2-a5d9-d4abd5112687,Norfolk Southern Railway,37.62,Transportation,2025-03-24,AmEx,Level hotel blood fact.
18eb3264-3906-4d9b-8bd2-bf920d7f457e,American Electric Power,27.94,Utilities,2025-07-10,AmEx,Community experience recent listen.
4cc17b7b-83fa-4d24-8a27-af9e56561e6c,Seattle Genetics,7.109999999999999,Pharmacy,2025-06-07,AmEx,Value piece adult agree than continue.
06f81a11-f7a4-425b-a45a-c74322889af6,Caterpillar,13.07,Hardware,2025-03-19,Apple Pay,Light care throughout.
57cebc0d-b9a1-4bb7-8a7c-9a797d91be63,PPL Corporation,95.55,Electric,2025-03-23,Apple Pay,Car great camera.
d4e2ea86-396c-44c4-a6c9-52d0dbf077c7,Activision Blizzard,10.95,Games,2025-06-12,Visa,Develop school to ask officer.
01df59a8-7927-408d-8514-53aec3a81fd5,Xylem Inc.,6.26,UtilitiesWater,2025-01-15,MasterCard,Play power human.
9bf9eeeb-9433-4a28-aa0a-43103c506445,Marathon Oil,26.89,Gas,2025-07-01,AmEx,Fear color join culture factor brother.
49a46aa9-7720-4c0e-a322-faa7f1999ee5,Micron Technology,169.76,Electronics,2025-02-19,MasterCard,Throughout clear support.
843d1ec4-d1d1-40e4-9a26-bc36adaeca8e,Hormel Foods,11.09,Groceries,2025-06-08,Visa,Light either just southern popular wrong.
e239101b-2528-48be-8e4c-5d7786aa85ef,Eli Lilly and Company,44.61,Pharmacy,2025-04-08,Visa,Result high boy.
bec2793f-7901-450c-90f7-f11d8f67b877,Visa Inc.,57.36,CreditCard,2025-04-10,MasterCard,So factor onto ever condition.
122e92db-43c2-4755-af6d-fe996384eed9,Pentair,10.85,HomeImprovement,2025-05-08,Visa,Together adult record president.
e5906dd1-e393-4db5-bb35-578845a40c1d,Fidelity National Information Services,52.11,FinanceCharges,2025-02-17,PayPal,Soon lose expert hour else.
6628eaa5-4545-4373-b18b-426f43a496eb,News Corp,18.34,Media,2025-06-01,MasterCard,His analysis reduce radio.
e63c2aeb-599b-4bfb-a2b7-b651725c3120,"UDR, Inc.",40.02,Rent,2025-05-30,MasterCard,Hotel some find girl strategy admit.
1be9a083-e2d9-45d2-bf6f-d9893c06318f,Unum Group,40.15,Insurance,2025-03-27,Visa,Write opportunity production.
b4ea9e67-a2c7-4b04-b605-58ef7332498c,Charles River Laboratories,30.7,Pharmacy,2025-04-16,PayPal,Old reach need grow poor.
ff8a3457-7281-4933-b1db-15058ef98b29,Steel Dynamics,8.79,Manufacturing,2025-01-20,MasterCard,Vote area fast speak coach radio.
5ad129fd-07e0-4fc8-b7e8-f3d89afb057d,Digital Realty,72.15,Internet,2025-05-31,Visa,Employee indicate lose several vote.
76d7ecca-e7be-4317-8892-01bf38e81192,Garmin,15.47,Electronics,2025-07-01,PayPal,One success approach east meeting become.
8967791d-b6ee-470f-8f3b-97299581cc6d,ConocoPhillips,8.26,Gas,2025-05-20,PayPal,State up see.
21f475fe-7227-4882-9b39-67ae6a048a50,Federal Realty,6.67,Rent,2025-04-23,MasterCard,Young buy read lawyer measure.
ad358a48-4b24-4975-8505-78fdb9bf999e,Consolidated Edison,35.75,Utilities,2025-07-04,MasterCard,Even hotel use.
fc88995e-555f-452c-965c-20a40e21a454,Globe Life,45.27,LifeInsurance,2025-04-17,AmEx,Hundred lead able tonight.
ff7aa04c-a5f4-4b98-993b-327111d4d902,"UDR, Inc.",5.67,Rent,2025-06-23,AmEx,Truth last southern.
f7ef93cb-92ab-4e87-87d2-0fe46253c4b7,Federal Realty,28.71,Rent,2025-01-27,Apple Pay,Create style role provide between.
ffcfc18b-57c3-448d-b49e-42ad47723d29,Globe Life,10.27,LifeInsurance,2025-01-18,Apple Pay,Month open per something region.
c9808139-68de-4029-89b5-f1a3c552d71f,Evergy,41.44,Electric,2025-07-03,Visa,Stock why official see possible.
b0560def-81df-4100-a2b2-7e64082a25ee,UnitedHealth Group,7.66,HealthInsurance,2025-05-05,MasterCard,Learn next also want stop fact.
90e152bc-4ad7-4ff8-b673-5a4b0dd1b15f,Microchip Technology,46.97,Electronics,2025-05-04,Visa,Understand remain vote thousand message.
f59848a5-8381-4e99-9b20-e52a37ce703e,Berkshire Hathaway,19.56,FinanceCharges,2025-02-08,PayPal,Board room support guess.
bf34132e-9042-43c6-ad1c-73137325b6c8,F5 Networks,110.41,Software,2025-04-21,PayPal,Your wish impact result.
8dc4e233-e66b-4ac1-b3da-fb2d290573d0,MSCI,5.92,Investments,2025-03-02,Visa,Guy fight mention box sister.
50f1826a-b397-4aea-a265-2ac965330f28,Generac,16.69,Electronics,2025-02-13,MasterCard,Bar west share realize.
3fbf43a8-0506-4ec7-8caa-271c76cecab4,Deere & Company,9.82,Hardware,2025-06-29,PayPal,Without television board.
99bc50e2-6ef1-41f2-95dc-50ebd212f630,3M,103.45,Hardware,2025-02-27,Apple Pay,About water between.
f3a484c6-ab43-4e9c-aa0b-c7ebf34d1171,PerkinElmer,83.93,MedicalSupplies,2025-01-20,MasterCard,Foot business my else Mrs.
f2d5bb6a-75d3-4c25-aeef-4e2593df9538,Fiserv,11.93,FinanceCharges,2025-03-22,Visa,Cut half professor president.
74bf1918-c6dc-4705-a3a9-7a23cd478659,Zebra Technologies,43.15,Electronics,2025-01-21,AmEx,Meet hot fish.
3700f27e-ce44-4ab0-a8ea-b0a8a52e3fa0,Nielsen Holdings,67.98,Marketing,2025-04-21,Visa,Common two party activity.
0bbd58b6-8471-49f9-af09-24cc948d699d,PulteGroup,32.41,Mortgage,2025-04-25,Apple Pay,Building forward leg attention.
0041751e-4cfe-48a2-8e2d-ebf8cdad229a,Emerson Electric,30.17,Hardware,2025-01-21,PayPal,Reflect seat range return national itself.
52ddcc29-fb3a-428e-a55b-6b7417b90267,Estee Lauder Companies,11.08,Cosmetics,2025-03-29,AmEx,Per turn interest fish both.
5904dbe8-7d42-421a-a4f5-1d1cdac0cdab,Marsh & McLennan,8.91,Insurance,2025-06-08,MasterCard,Relationship case live task.
ace5a303-4454-4c25-85e6-4215c7b0e5d2,Hewlett Packard Enterprise,91.0,Computer,2025-01-21,PayPal,Mouth ball always try inside ability.
2ece3dc8-445d-4c18-be41-2110080e95ce,Paychex,92.27,Payroll,2025-05-27,Apple Pay,Paper production every fill professor.
5adbfc58-f6eb-472c-8229-20bc5ba417a7,Medtronic,40.11,MedicalSupplies,2025-04-24,PayPal,Those meet bring impact operation radio.
39f39b2d-244a-40e6-9772-b5c91a650a7d,Marathon Petroleum,16.56,Gas,2025-07-10,AmEx,Worker big usually.
a7342cc2-f90e-44cc-895c-8cbaa7a2ad7d,Duke Energy,17.18,Electric,2025-05-18,PayPal,Someone century among.
b31e15ac-9fd8-4948-8cb1-fdfd21762c58,Smucker (J.M.),51.78,Groceries,2025-02-12,Apple Pay,Successful sometimes scene nothing.
55dbe8d8-0278-4502-a339-a65a43c9e569,Omnicom Group,90.96,Marketing,2025-04-19,PayPal,Consider either current.
cdd82132-b4bc-49e9-be27-effca7f86e42,Huntington Ingalls Industries,87.25,Defense,2025-03-19,MasterCard,Section tell hair rate season hair.
a7e8ceff-0d89-4888-a915-800b6e20a738,Kroger,60.54,Groceries,2025-03-11,MasterCard,Teacher meet yard woman.
cb63acd0-8eb1-4886-849c-866f6d861c50,Oneok,41.09,Gas,2025-06-19,AmEx,Save toward scene race everything know.
370920a1-7294-4fbc-bf40-4516025455b2,Laboratory Corporation of America,8.52,MedicalSupplies,2025-01-22,Apple Pay,Expert world reduce mention movement.
36c899d9-9cdc-4ec0-b033-1c211d92c823,Exelon,7.05,Electric,2025-06-17,MasterCard,Wonder all career whom art.
bb4be091-4841-4e77-ac7a-15e7c60cd493,Paramount Global,91.53,Streaming,2025-04-22,MasterCard,Every behavior serve.
d82b832b-a038-4202-a68a-267505061b60,Stryker Corporation,37.3,MedicalSupplies,2025-05-21,MasterCard,Human son human again board.
bee72d12-312f-4f61-b0d9-ee1a5d9d4378,Alexion Pharmaceuticals,5.37,Pharmacy,2025-06-29,MasterCard,Wish modern impact charge these soon.
